Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
136,UT Yadav,Royal Challengers Bangalore,-108,-0.361,0.004,"$656,250","$3,059"
137,KD Karthik,Kolkata Knight Riders,-116,-0.391,0.039,"$1,156,250","$-43,539"
138,Kartik Tyagi,Rajasthan Royals,-117,-0.39399999999999996,0.055999999999999994,"$185,700","$-48,198"
139,JD Unadkat,Rajasthan Royals,-125,-0.42100000000000004,0.028999999999999998,"$428,600","$-90,136"
140,AD Russell,Kolkata Knight Riders,-133,-0.447,0.064,"$1,328,130","$-130,520"
141,GJ Maxwell,Kings XI Punjab,-147,-0.493,0.048,"$1,535,700","$-201,969"
142,AS Rajpoot,Rajasthan Royals,-148,-0.499,0.021,"$430,000","$-211,289"
143,KH Pandya,Mumbai Indians,-154,-0.519,0.066,"$1,375,000","$-242,354"
144,KL Nagarkoti,Kolkata Knight Riders,-154,-0.519,0.027999999999999997,"$500,000","$-242,354"
145,NA Saini,Royal Challengers Bangalore,-168,-0.565,0.065,"$468,750","$-313,803"
146,PJ Cummins,Kolkata Knight Riders,-173,-0.581,0.122,"$2,214,300","$-338,655"
147,S Gopal,Rajasthan Royals,-222,-0.747,0.065,"$31,250","$-596,493"
148,SP Narine,Kolkata Knight Riders,-228,-0.765,0.057999999999999996,"$1,953,130","$-624,452"
